algo,heuristic,epsilon,difficulty,instance_id,solved,cost,optimal_cost,subopt_ratio,nodes_expanded,nodes_generated,elapsed_ms
weighted_astar,manhattan,1.1,easy,0,True,30,30,1.0,1547,3258,8.77
weighted_astar,manhattan,1.1,easy,1,True,10,10,1.0,11,26,0.07
weighted_astar,manhattan,1.1,easy,2,True,26,26,1.0,2072,4179,13.98
weighted_astar,manhattan,1.1,easy,3,True,20,20,1.0,21,47,0.15
weighted_astar,manhattan,1.1,easy,4,True,21,21,1.0,746,1529,4.96
weighted_astar,manhattan,1.1,easy,5,True,25,25,1.0,70,146,0.38
weighted_astar,manhattan,1.1,easy,6,True,28,28,1.0,123,255,0.65
weighted_astar,manhattan,1.1,easy,7,True,21,21,1.0,22,43,0.17
weighted_astar,manhattan,1.1,easy,8,True,19,19,1.0,46,103,0.28
weighted_astar,manhattan,1.1,easy,9,True,19,19,1.0,29,59,0.15
weighted_astar,manhattan,1.1,easy,10,True,20,20,1.0,428,891,2.38
weighted_astar,manhattan,1.1,easy,11,True,19,19,1.0,61,126,0.32
weighted_astar,manhattan,1.1,easy,12,True,22,22,1.0,285,604,1.57
weighted_astar,manhattan,1.1,easy,13,True,19,19,1.0,34,72,0.18
weighted_astar,manhattan,1.1,easy,14,True,28,28,1.0,2690,5311,17.75
weighted_astar,manhattan,1.1,easy,15,True,20,20,1.0,149,306,0.95
weighted_astar,manhattan,1.1,easy,16,True,23,23,1.0,1056,2144,7.28
weighted_astar,manhattan,1.1,easy,17,True,19,19,1.0,38,81,0.2
weighted_astar,manhattan,1.1,easy,18,True,20,20,1.0,223,471,1.14
weighted_astar,manhattan,1.1,easy,19,True,17,17,1.0,31,68,0.17
weighted_astar,manhattan,1.1,medium,0,True,36,36,1.0,41448,81774,299.91
weighted_astar,manhattan,1.1,medium,1,True,32,32,1.0,8666,17237,55.02
weighted_astar,manhattan,1.1,medium,2,True,28,28,1.0,1284,2662,7.18
weighted_astar,manhattan,1.1,medium,3,True,23,23,1.0,274,576,1.43
weighted_astar,manhattan,1.1,medium,4,True,32,32,1.0,1834,3695,11.82
weighted_astar,manhattan,1.1,medium,5,True,24,24,1.0,322,666,1.72
weighted_astar,manhattan,1.1,medium,6,True,31,31,1.0,12064,23580,80.84
weighted_astar,manhattan,1.1,medium,7,True,33,33,1.0,4963,9752,34.32
weighted_astar,manhattan,1.1,medium,8,True,31,31,1.0,446,929,2.86
weighted_astar,manhattan,1.1,medium,9,True,36,36,1.0,12397,24494,81.03
weighted_astar,manhattan,1.1,medium,10,True,38,38,1.0,17407,33781,111.08
weighted_astar,manhattan,1.1,medium,11,True,32,32,1.0,4855,9855,30.01
weighted_astar,manhattan,1.1,medium,12,True,30,30,1.0,2454,4793,15.1
weighted_astar,manhattan,1.1,medium,13,True,30,30,1.0,1983,4075,12.07
weighted_astar,manhattan,1.1,medium,14,True,31,31,1.0,9356,18525,60.54
weighted_astar,manhattan,1.1,medium,15,True,24,24,1.0,396,801,2.28
weighted_astar,manhattan,1.1,medium,16,True,24,24,1.0,1044,2129,6.46
weighted_astar,manhattan,1.1,medium,17,True,25,25,1.0,213,453,1.19
weighted_astar,manhattan,1.1,medium,18,True,36,36,1.0,103178,198445,740.24
weighted_astar,manhattan,1.1,medium,19,True,33,33,1.0,394,821,2.77
weighted_astar,manhattan,1.1,hard,0,True,38,38,1.0,425737,812393,3591.47
weighted_astar,manhattan,1.1,hard,1,True,43,43,1.0,36373,71681,240.57
weighted_astar,manhattan,1.1,hard,2,True,44,44,1.0,295717,564667,2249.11
weighted_astar,manhattan,1.1,hard,3,True,34,34,1.0,3022,6042,19.0
weighted_astar,manhattan,1.1,hard,4,True,36,36,1.0,82476,159902,563.16
weighted_astar,manhattan,1.1,hard,5,True,33,33,1.0,22009,43402,141.62
weighted_astar,manhattan,1.1,hard,6,True,51,51,1.0,916537,1712874,7346.39
weighted_astar,manhattan,1.1,hard,7,True,47,47,1.0,1446046,2754119,11729.6
weighted_astar,manhattan,1.1,hard,8,True,36,36,1.0,5747,11538,34.88
weighted_astar,manhattan,1.1,hard,9,True,45,45,1.0,39658,77968,252.06
weighted_astar,manhattan,1.1,hard,10,False,,53,,5000000,9371123,45132.55
weighted_astar,manhattan,1.1,hard,11,True,32,32,1.0,3499,7016,21.14
weighted_astar,manhattan,1.1,hard,12,True,34,34,1.0,40979,81244,277.59
weighted_astar,manhattan,1.1,hard,13,True,46,46,1.0,501842,956648,3852.3
weighted_astar,manhattan,1.1,hard,14,True,40,40,1.0,62562,123368,426.42
weighted_astar,manhattan,1.1,hard,15,True,34,34,1.0,48880,94351,333.32
weighted_astar,manhattan,1.1,hard,16,True,43,43,1.0,52550,101375,340.24
weighted_astar,manhattan,1.1,hard,17,True,45,45,1.0,687225,1300161,5290.54
weighted_astar,manhattan,1.1,hard,18,True,36,36,1.0,18526,37369,120.61
weighted_astar,manhattan,1.1,hard,19,True,41,41,1.0,46110,90500,290.45
focal_search,manhattan,1.1,easy,0,True,30,30,1.0,1496,3163,18.97
focal_search,manhattan,1.1,easy,1,True,10,10,1.0,11,26,0.13
focal_search,manhattan,1.1,easy,2,True,26,26,1.0,1968,3990,23.97
focal_search,manhattan,1.1,easy,3,True,20,20,1.0,21,47,0.3
focal_search,manhattan,1.1,easy,4,True,21,21,1.0,1769,3627,17.76
focal_search,manhattan,1.1,easy,5,True,25,25,1.0,63,134,0.64
focal_search,manhattan,1.1,easy,6,True,28,28,1.0,41,88,0.43
focal_search,manhattan,1.1,easy,7,True,21,21,1.0,22,43,0.23
focal_search,manhattan,1.1,easy,8,True,19,19,1.0,46,103,0.45
focal_search,manhattan,1.1,easy,9,True,19,19,1.0,29,59,0.26
focal_search,manhattan,1.1,easy,10,True,20,20,1.0,534,1109,5.75
focal_search,manhattan,1.1,easy,11,True,19,19,1.0,61,126,0.58
focal_search,manhattan,1.1,easy,12,True,22,22,1.0,200,431,1.87
focal_search,manhattan,1.1,easy,13,True,19,19,1.0,34,72,0.37
focal_search,manhattan,1.1,easy,14,True,28,28,1.0,2651,5238,31.2
focal_search,manhattan,1.1,easy,15,True,20,20,1.0,151,311,1.76
focal_search,manhattan,1.1,easy,16,True,23,23,1.0,980,2009,10.02
focal_search,manhattan,1.1,easy,17,True,19,19,1.0,38,81,0.4
focal_search,manhattan,1.1,easy,18,True,22,20,1.1,205,423,2.07
focal_search,manhattan,1.1,easy,19,True,17,17,1.0,31,68,0.3
focal_search,manhattan,1.1,medium,0,True,36,36,1.0,41295,81498,544.78
focal_search,manhattan,1.1,medium,1,True,32,32,1.0,8554,17016,113.4
focal_search,manhattan,1.1,medium,2,True,28,28,1.0,1230,2548,15.08
focal_search,manhattan,1.1,medium,3,True,23,23,1.0,138,296,1.47
focal_search,manhattan,1.1,medium,4,True,32,32,1.0,1777,3594,22.5
focal_search,manhattan,1.1,medium,5,True,24,24,1.0,268,562,3.0
focal_search,manhattan,1.1,medium,6,True,31,31,1.0,11801,23071,146.63
focal_search,manhattan,1.1,medium,7,True,33,33,1.0,4721,9287,58.89
focal_search,manhattan,1.1,medium,8,True,31,31,1.0,302,636,3.98
focal_search,manhattan,1.1,medium,9,True,36,36,1.0,19820,38915,202.15
focal_search,manhattan,1.1,medium,10,True,38,38,1.0,18136,35144,233.05
focal_search,manhattan,1.1,medium,11,True,32,32,1.0,4693,9501,51.54
focal_search,manhattan,1.1,medium,12,True,30,30,1.0,2372,4642,28.46
focal_search,manhattan,1.1,medium,13,True,30,30,1.0,1936,3973,18.58
focal_search,manhattan,1.1,medium,14,True,31,31,1.0,9222,18263,115.45
focal_search,manhattan,1.1,medium,15,True,24,24,1.0,357,728,3.76
focal_search,manhattan,1.1,medium,16,True,24,24,1.0,1018,2078,12.86
focal_search,manhattan,1.1,medium,17,True,25,25,1.0,174,373,1.91
focal_search,manhattan,1.1,medium,18,True,36,36,1.0,102471,197185,1469.49
focal_search,manhattan,1.1,medium,19,True,33,33,1.0,294,608,3.88
focal_search,manhattan,1.1,hard,0,True,38,38,1.0,425617,812232,6522.16
focal_search,manhattan,1.1,hard,1,True,43,43,1.0,60613,118231,821.7
focal_search,manhattan,1.1,hard,2,True,44,44,1.0,82591,159198,1154.8
focal_search,manhattan,1.1,hard,3,True,34,34,1.0,2906,5830,40.3
focal_search,manhattan,1.1,hard,4,True,36,36,1.0,82334,159649,1050.35
focal_search,manhattan,1.1,hard,5,True,33,33,1.0,21849,43114,269.48
focal_search,manhattan,1.1,hard,6,True,51,51,1.0,1521607,2802660,23109.56
focal_search,manhattan,1.1,hard,7,True,47,47,1.0,1921953,3647224,30366.29
focal_search,manhattan,1.1,hard,8,True,36,36,1.0,5672,11395,65.38
focal_search,manhattan,1.1,hard,9,True,45,45,1.0,9857,19621,122.2
focal_search,manhattan,1.1,hard,10,False,,53,,3858107,7234921,60000.0
focal_search,manhattan,1.1,hard,11,True,32,32,1.0,3321,6655,38.84
focal_search,manhattan,1.1,hard,12,True,34,34,1.0,40712,80756,574.68
focal_search,manhattan,1.1,hard,13,True,46,46,1.0,596236,1135269,8424.61
focal_search,manhattan,1.1,hard,14,True,40,40,1.0,67328,132510,927.99
focal_search,manhattan,1.1,hard,15,True,34,34,1.0,48419,93485,569.38
focal_search,manhattan,1.1,hard,16,True,45,43,1.0465,59018,113452,779.9
focal_search,manhattan,1.1,hard,17,True,45,45,1.0,380833,733411,5359.44
focal_search,manhattan,1.1,hard,18,True,36,36,1.0,18447,37220,241.38
focal_search,manhattan,1.1,hard,19,True,41,41,1.0,47113,92376,677.65
ees,manhattan,1.1,easy,0,True,30,30,1.0,1496,3163,26.1
ees,manhattan,1.1,easy,1,True,10,10,1.0,11,26,0.21
ees,manhattan,1.1,easy,2,True,26,26,1.0,1968,3990,40.47
ees,manhattan,1.1,easy,3,True,20,20,1.0,21,47,0.38
ees,manhattan,1.1,easy,4,True,21,21,1.0,1769,3627,31.01
ees,manhattan,1.1,easy,5,True,25,25,1.0,63,134,1.06
ees,manhattan,1.1,easy,6,True,28,28,1.0,41,88,0.67
ees,manhattan,1.1,easy,7,True,21,21,1.0,22,43,0.34
ees,manhattan,1.1,easy,8,True,19,19,1.0,46,103,0.8
ees,manhattan,1.1,easy,9,True,19,19,1.0,29,59,0.47
ees,manhattan,1.1,easy,10,True,20,20,1.0,534,1109,10.6
ees,manhattan,1.1,easy,11,True,19,19,1.0,61,126,0.99
ees,manhattan,1.1,easy,12,True,22,22,1.0,200,431,3.28
ees,manhattan,1.1,easy,13,True,19,19,1.0,34,72,0.57
ees,manhattan,1.1,easy,14,True,28,28,1.0,2651,5238,53.57
ees,manhattan,1.1,easy,15,True,20,20,1.0,151,311,2.84
ees,manhattan,1.1,easy,16,True,23,23,1.0,980,2009,19.07
ees,manhattan,1.1,easy,17,True,19,19,1.0,38,81,0.77
ees,manhattan,1.1,easy,18,True,22,20,1.1,205,423,3.65
ees,manhattan,1.1,easy,19,True,17,17,1.0,31,68,0.58
ees,manhattan,1.1,medium,0,True,36,36,1.0,41295,81498,1050.39
ees,manhattan,1.1,medium,1,True,32,32,1.0,8554,17016,191.88
ees,manhattan,1.1,medium,2,True,28,28,1.0,1230,2548,25.98
ees,manhattan,1.1,medium,3,True,23,23,1.0,138,296,2.77
ees,manhattan,1.1,medium,4,True,32,32,1.0,1777,3594,37.47
ees,manhattan,1.1,medium,5,True,24,24,1.0,268,562,4.99
ees,manhattan,1.1,medium,6,True,31,31,1.0,11801,23071,252.18
ees,manhattan,1.1,medium,7,True,33,33,1.0,4721,9287,100.71
ees,manhattan,1.1,medium,8,True,31,31,1.0,302,636,6.88
ees,manhattan,1.1,medium,9,True,36,36,1.0,19820,38915,373.41
ees,manhattan,1.1,medium,10,True,38,38,1.0,18136,35144,369.69
ees,manhattan,1.1,medium,11,True,32,32,1.0,4693,9501,87.5
ees,manhattan,1.1,medium,12,True,30,30,1.0,2372,4642,45.95
ees,manhattan,1.1,medium,13,True,30,30,1.0,1936,3973,37.17
ees,manhattan,1.1,medium,14,True,31,31,1.0,9222,18263,189.97
ees,manhattan,1.1,medium,15,True,24,24,1.0,357,728,6.27
ees,manhattan,1.1,medium,16,True,24,24,1.0,1018,2078,19.63
ees,manhattan,1.1,medium,17,True,25,25,1.0,174,373,3.31
ees,manhattan,1.1,medium,18,True,36,36,1.0,102471,197185,2325.3
ees,manhattan,1.1,medium,19,True,33,33,1.0,294,608,5.73
ees,manhattan,1.1,hard,0,True,38,38,1.0,425617,812232,10080.85
ees,manhattan,1.1,hard,1,True,43,43,1.0,60613,118231,1286.66
ees,manhattan,1.1,hard,2,True,44,44,1.0,82591,159198,1782.05
ees,manhattan,1.1,hard,3,True,34,34,1.0,2906,5830,53.98
ees,manhattan,1.1,hard,4,True,36,36,1.0,82334,159649,1711.55
ees,manhattan,1.1,hard,5,True,33,33,1.0,21849,43114,452.16
ees,manhattan,1.1,hard,6,True,51,51,1.0,1521607,2802660,34400.97
ees,manhattan,1.1,hard,7,True,47,47,1.0,1921953,3647224,45139.09
ees,manhattan,1.1,hard,8,True,36,36,1.0,5672,11395,107.09
ees,manhattan,1.1,hard,9,True,45,45,1.0,9857,19621,193.83
ees,manhattan,1.1,hard,10,False,,53,,2831792,5304518,60525.07
ees,manhattan,1.1,hard,11,True,32,32,1.0,3321,6655,64.08
ees,manhattan,1.1,hard,12,True,34,34,1.0,40712,80756,906.44
ees,manhattan,1.1,hard,13,True,46,46,1.0,596236,1135269,13150.31
ees,manhattan,1.1,hard,14,True,40,40,1.0,67328,132510,1462.53
ees,manhattan,1.1,hard,15,True,34,34,1.0,48419,93485,978.03
